seed,train_best,train_avg_last100,eval_avg,eval_max,eval_min,elapsed_s
1,60,19.58,33.25,68,7,214.9
2,57,10.01,34.15,58,16,188.5
3,55,18.39,37.65,63,19,199.8
4,58,16.91,32.0,50,10,199.4
5,52,11.45,24.65,52,5,170.6
6,53,13.29,27.65,39,2,173.9
7,57,8.43,36.9,65,3,180.5
8,59,14.14,26.2,50,2,182.8
9,57,12.61,13.1,30,0,166.2
10,49,15.17,29.15,53,8,180.5
11,58,14.13,29.6,62,7,177.7
12,53,9.88,33.0,47,16,177.9
13,63,12.78,23.15,49,3,195.3
14,57,15.95,20.7,35,6,182.7
15,53,14.07,27.2,48,12,197.2
16,54,15.39,27.1,39,13,183.6
17,51,3.63,25.0,42,2,181.1
18,60,15.19,34.5,50,19,188.1
19,50,14.38,27.15,49,5,177.9
20,55,10.89,25.6,46,11,182.6
21,53,13.56,25.25,40,12,183.5
22,52,18.85,28.9,49,6,182.6
23,52,15.74,24.7,47,4,197.0
24,52,16.17,28.5,49,7,204.4
25,55,4.9,22.95,44,1,200.1
26,51,10.02,26.7,42,16,194.5
27,50,12.17,27.8,47,1,192.1
28,49,16.73,32.6,50,15,196.7
29,48,15.5,25.05,55,6,173.0
30,43,12.49,26.25,36,14,152.3
31,52,15.26,27.2,58,13,170.6
32,57,8.35,19.85,38,0,172.7
33,56,15.21,27.75,43,10,204.1
34,51,12.66,18.05,37,2,170.9
35,62,13.57,20.55,37,7,214.1
36,68,11.33,42.15,61,14,230.5
37,53,13.26,38.25,61,14,220.1
38,60,10.5,28.9,48,6,194.0
39,52,15.11,36.9,61,11,178.4
40,66,20.43,33.2,49,14,202.3
41,63,17.26,30.6,49,1,207.2
42,59,13.82,34.4,59,15,175.1
43,63,12.24,33.15,53,4,159.0
44,58,12.22,19.45,34,6,209.4
45,60,11.1,27.55,50,0,205.2
46,66,13.58,28.15,43,19,206.5
47,55,15.4,35.9,60,12,205.1
48,56,11.54,36.6,53,20,155.6
49,52,10.29,30.85,54,18,146.8
50,57,16.44,32.1,47,10,151.9
51,53,15.72,33.55,55,4,162.8
52,56,11.32,34.45,53,18,163.6
53,56,13.92,26.55,48,0,168.7
54,55,13.85,30.5,59,8,167.5
55,53,23.45,29.55,52,8,158.9
56,66,12.53,23.4,43,0,150.4
57,57,18.63,25.4,53,5,150.2
58,60,8.41,36.45,70,0,147.6
59,60,10.28,38.8,61,15,167.5
60,56,12.8,34.8,60,13,161.7
61,53,13.59,28.15,50,12,158.0
62,62,15.94,30.1,48,9,149.2
63,50,10.25,20.1,37,8,144.5
64,59,12.46,29.8,50,15,166.8
65,58,11.55,22.8,37,7,138.4
66,56,20.32,30.2,48,1,149.2
67,52,18.47,30.95,48,17,153.9
68,51,18.83,28.55,54,5,159.5
69,56,11.73,25.9,35,18,156.8
70,53,20.01,31.55,47,9,150.8
71,54,18.63,24.45,52,0,155.8
72,53,8.78,29.25,49,1,148.7
73,55,12.7,29.05,45,6,198.1
74,63,7.78,31.05,50,6,187.9
75,56,15.05,26.8,50,0,179.6
76,58,7.88,33.8,46,15,165.3
77,59,10.1,26.55,38,16,130.7
78,70,11.12,38.6,61,7,140.6
79,59,17.66,25.4,42,11,132.6
80,57,17.83,24.4,40,7,126.8
81,62,15.35,20.75,38,0,126.5
82,61,12.27,31.5,56,8,123.5
83,58,22.35,31.75,49,12,139.5
84,58,8.95,29.9,59,6,137.5
85,60,19.95,24.3,37,9,135.3
86,55,11.02,20.6,38,5,128.8
87,55,14.0,24.4,47,12,125.5
88,60,13.74,28.55,52,1,125.6
89,52,9.36,23.75,43,4,123.8
90,50,11.82,18.0,29,0,122.6
91,51,14.89,26.05,43,11,119.1
92,55,9.03,26.95,44,14,127.4
93,51,9.17,26.95,43,12,126.9
94,54,18.7,30.85,45,18,135.3
95,65,11.73,22.4,44,6,139.8
96,57,10.61,31.8,49,9,133.7
97,61,12.71,21.55,40,9,125.3
98,55,8.4,22.15,41,3,125.8
99,57,8.46,22.75,61,9,115.2
100,67,7.1,27.15,48,12,105.5
